kilometres_ridden,engine_problem,battery_problem,breaking_issues,service_date,bought_date
11263,0,0,0,182,26-06-2015
76899,0,1,1,69,12-06-2017
17617,1,0,0,160,24-10-2019
66593,0,1,0,305,07-04-2019
19467,0,0,1,201,07-07-2017
42376,0,1,0,196,02-04-2023
36207,0,0,1,105,01-07-2013
72390,0,1,0,194,17-04-2019
82188,1,1,0,162,08-05-2015
52539,0,0,0,121,01-08-2013
84333,0,0,1,71,21-10-2015
12665,0,0,0,339,27-01-2018
77767,1,0,1,310,20-06-2010
60874,0,0,0,234,10-10-2015
86394,1,0,1,233,05-03-2019
39773,0,0,1,143,19-12-2022
22247,0,1,0,364,15-12-2012
90342,1,1,1,337,09-01-2019
18633,0,1,1,31,06-10-2020
22370,0,1,0,354,02-03-2011
72457,0,0,0,142,30-11-2012
87923,1,0,1,217,14-03-2021
27771,0,1,1,305,10-06-2018
44833,0,1,0,85,30-05-2013
34837,0,0,0,292,21-12-2017
37492,1,0,0,83,26-02-2023
44233,1,0,1,182,09-01-2023
33682,0,1,0,57,06-04-2014
15643,1,0,0,321,26-05-2011
60656,0,1,0,271,26-05-2018
61967,1,0,0,192,28-12-2016
66873,0,0,1,151,29-05-2022
63139,1,1,0,203,17-08-2014
56747,1,1,0,124,10-05-2012
17606,0,0,1,312,22-03-2014
27771,1,1,0,105,17-04-2017
42986,1,0,0,215,15-09-2018
67308,1,1,0,200,31-10-2012
66899,0,0,0,236,07-01-2013
56717,0,1,0,199,07-07-2010
83538,0,1,0,152,09-12-2021
54679,0,0,0,40,11-04-2013
20180,1,1,1,63,27-07-2011
52094,1,1,1,214,16-08-2016
26785,1,1,1,130,03-12-2019
57754,1,0,0,110,25-08-2013
25027,1,0,1,36,21-09-2022
32474,0,0,1,10,27-06-2018
43511,0,0,0,137,21-08-2022
50749,0,0,1,210,14-11-2014
83712,1,1,1,323,02-04-2014
19474,0,1,0,206,05-09-2018
71832,0,0,0,360,13-02-2022
35326,1,1,1,62,04-06-2010
83767,0,0,0,64,03-08-2022
72251,1,1,0,171,21-09-2019
62465,1,1,1,53,16-09-2014
42305,1,1,0,210,30-10-2020
93856,1,0,0,218,24-05-2010
81703,0,1,1,301,09-06-2011
42345,0,1,0,202,31-10-2015
23640,1,1,1,302,20-10-2013
63833,1,1,0,183,10-12-2014
49377,0,1,1,164,20-08-2020
30327,0,1,1,233,31-05-2014
14518,0,0,1,4,26-01-2022
33819,0,1,1,346,30-03-2021
22826,0,1,1,39,22-06-2018
83629,0,0,1,156,25-09-2012
88857,1,1,0,305,24-07-2020
54860,1,1,1,357,27-05-2016
78826,0,0,1,330,25-07-2010
63636,0,1,0,70,05-06-2012
70407,0,1,1,251,17-09-2022
46008,1,1,0,352,08-07-2013
75955,0,1,1,24,30-03-2015
26989,1,0,1,37,03-09-2014
81442,0,1,1,32,07-10-2018
93365,0,0,0,27,04-05-2021
26490,1,1,0,204,29-04-2011
19751,1,1,0,312,08-08-2014
15669,0,0,1,174,22-01-2023
34678,1,0,0,160,07-11-2019
60956,0,0,0,129,12-12-2016
14294,0,1,0,4,28-06-2011
66405,0,0,1,26,02-07-2020
90112,0,0,1,110,14-05-2011
52481,1,0,1,68,16-06-2015
89352,1,0,1,341,24-09-2013
84826,1,0,0,273,14-08-2022
61214,1,0,0,255,28-02-2018
24527,0,1,1,319,23-08-2012
82554,0,0,0,45,03-09-2022
18609,0,0,0,237,25-10-2012
68646,0,1,0,178,20-03-2019
98746,0,1,1,107,18-04-2015
15814,0,1,1,281,17-04-2010
82929,1,1,1,124,29-06-2015
97567,1,0,1,12,20-05-2019
42029,0,1,0,245,16-03-2012
13072,0,1,1,1,28-04-2014
96570,1,1,1,215,03-08-2018
45566,0,1,0,352,01-12-2018
74925,0,1,1,142,15-10-2014
98985,0,1,1,226,05-09-2018
73665,1,1,1,130,14-10-2018
81947,0,0,1,194,23-01-2019
38040,0,0,1,104,07-10-2014
95686,0,0,1,268,10-01-2012
29419,1,1,1,75,11-06-2011
42077,0,1,1,78,20-03-2019
43489,0,0,1,296,25-12-2015
80249,1,0,1,89,05-12-2018
15703,0,1,0,63,23-05-2014
66737,0,1,0,183,11-02-2017
64013,0,0,0,152,19-10-2017
79685,0,0,0,277,21-03-2015
34235,0,1,1,6,07-04-2017
39357,0,1,1,282,18-11-2020
11046,1,1,0,242,17-01-2018
98764,0,0,0,343,27-02-2019
21246,1,1,1,352,15-06-2012
13101,1,0,1,79,08-03-2011
81576,1,0,0,321,13-12-2010
74259,1,0,1,155,01-12-2021
47472,1,0,1,166,06-12-2016
28434,0,1,1,335,05-12-2011
18757,1,1,0,334,04-02-2021
29475,1,1,1,273,22-12-2021
71914,1,1,0,203,28-06-2018
99488,1,0,1,294,30-01-2018
18255,0,0,1,277,02-01-2018
81071,0,0,1,256,19-12-2021
14808,0,0,1,339,13-02-2010
69258,0,0,1,199,13-07-2014
61857,1,0,0,31,26-08-2022
67087,0,0,0,10,24-03-2016
78093,0,0,0,65,25-06-2012
24998,1,0,1,94,23-04-2010
73024,1,0,0,199,23-05-2017
67563,1,0,0,266,24-07-2012
16785,0,0,0,351,04-02-2010
64940,1,0,1,220,26-09-2015
71481,1,1,1,58,31-03-2022
94513,0,1,1,180,18-09-2019
16021,0,1,0,53,19-06-2022
26190,1,1,1,141,27-02-2022
95764,0,0,1,158,02-06-2017
42041,1,0,1,308,04-04-2013
51153,1,0,1,253,04-06-2020
88236,1,0,1,44,29-10-2016
75717,1,1,0,76,05-11-2020
52075,0,1,0,20,25-10-2016
67129,0,0,1,175,27-12-2019
19962,1,0,0,61,20-01-2016
79062,1,1,0,242,06-11-2014
34225,0,0,0,123,19-11-2012
26101,0,1,0,82,17-11-2022
38033,1,1,1,286,13-01-2014
44252,1,0,1,39,26-10-2015
89342,0,0,0,233,26-09-2022
20683,0,1,0,16,03-05-2016
72387,0,1,1,170,08-03-2011
28935,1,1,1,347,31-08-2012
11047,0,1,0,362,28-02-2016
19046,0,1,0,88,28-08-2018
48313,1,1,0,28,12-11-2016
77274,0,1,1,84,27-08-2020
21659,1,1,0,232,06-04-2022
98516,0,0,0,94,26-05-2011
59758,0,0,1,220,05-04-2021
66292,1,0,0,76,14-03-2011
41121,1,0,0,272,20-08-2011
76153,1,0,0,267,13-08-2016
68740,1,0,0,250,03-03-2018
53032,1,0,0,265,27-06-2011
38451,0,0,0,1,24-05-2021
34307,0,0,0,181,14-01-2019
49370,0,1,1,128,17-06-2020
44271,1,1,1,345,06-09-2015
57705,1,0,1,286,17-07-2012
12605,1,0,0,183,12-09-2018
52984,0,0,0,124,08-06-2013
62265,0,0,0,241,15-03-2010
83694,1,1,0,199,16-11-2012
72710,0,1,1,341,12-05-2019
37533,0,1,0,48,01-10-2016
27399,0,1,1,271,15-09-2018
46398,0,1,0,325,09-03-2014
73073,1,1,0,238,24-11-2018
71877,0,1,0,288,07-08-2016
12340,0,0,1,24,11-05-2018
16569,1,1,0,326,23-03-2017
90784,0,1,1,169,07-10-2017
18662,0,1,0,122,29-07-2010
25211,1,1,1,104,23-01-2023
93190,0,0,1,211,05-04-2014
41123,0,1,0,233,10-07-2012
63845,1,1,1,204,03-12-2020
70273,1,1,1,241,19-08-2016
83332,0,0,0,3,24-12-2013
18769,0,0,1,276,13-07-2015
93754,0,1,1,189,10-09-2014
32140,0,0,1,37,06-04-2015
15156,1,0,0,235,15-02-2021
40104,1,0,1,102,01-10-2017
80097,1,1,1,5,31-05-2017
49497,1,1,1,342,12-03-2023
60159,0,0,0,17,27-06-2020
42880,1,0,1,36,26-08-2012
15522,0,0,1,336,17-07-2012
88697,0,0,0,270,01-06-2014
74532,0,0,0,16,13-01-2022
29797,0,0,0,66,03-02-2011
20434,0,0,1,127,23-02-2013
42206,1,1,1,96,17-02-2012
27530,1,1,0,40,15-05-2011
62159,1,0,0,310,06-03-2017
65431,0,1,0,285,12-02-2016
59262,1,1,0,236,29-07-2018
64507,0,0,0,259,21-09-2015
78692,1,0,1,170,12-03-2014
85914,0,1,0,164,19-08-2016
10721,1,1,1,315,29-03-2015
89915,1,0,1,23,19-09-2017
67866,0,1,1,311,22-06-2019
95198,1,1,1,170,15-09-2010
20488,1,0,1,292,12-04-2011
37765,1,0,0,228,19-09-2011
72183,1,0,0,79,01-12-2011
90016,1,1,0,224,11-06-2013
20679,0,0,1,188,19-07-2013
61671,0,0,1,266,08-09-2017
71903,0,1,0,35,04-12-2022
50321,0,0,0,25,09-12-2012
61598,1,0,1,299,24-07-2020
31888,1,1,0,19,17-10-2022
18052,1,1,1,140,25-11-2017
49741,0,0,1,140,09-09-2019
59550,1,0,0,279,18-01-2018
58706,0,0,0,58,03-02-2019
89125,0,0,1,171,31-08-2018
54811,1,1,1,260,25-05-2014
18091,0,1,1,2,01-10-2018
67971,0,1,1,259,22-03-2012
79223,0,0,0,350,08-02-2010
74801,1,1,0,125,07-02-2017
34660,0,1,0,155,25-03-2014
18600,1,0,0,22,22-07-2014
38833,0,0,0,97,07-09-2011
12329,1,1,0,352,21-06-2012
78343,0,1,1,95,09-09-2017
87415,0,0,0,171,21-04-2022
49240,0,1,1,102,11-03-2022
74373,0,0,1,358,16-04-2017
73090,0,0,0,317,21-06-2020
34224,1,1,1,223,15-07-2022
44521,1,0,1,321,07-03-2017
61097,1,0,0,193,06-09-2018
71955,0,1,0,161,20-06-2010
54857,0,1,1,287,21-08-2010
67328,1,0,1,277,09-04-2018
28137,0,1,0,358,22-03-2019
76528,1,0,1,291,08-06-2014
42242,1,0,1,60,29-02-2016
96554,1,1,0,328,06-08-2010
34759,1,0,1,183,30-01-2018
73470,0,0,0,158,16-08-2022
91332,0,1,0,55,16-01-2019
81354,1,0,1,348,30-08-2011
99538,0,1,0,79,31-01-2022
72307,0,1,1,221,29-07-2014
63988,1,0,1,18,23-02-2013
22198,0,0,0,17,10-07-2014
60702,0,0,1,362,17-05-2016
44966,0,0,0,195,05-12-2017
34611,0,1,1,311,11-07-2022
97988,0,1,0,74,02-03-2023
35245,0,0,0,224,10-10-2014
76054,0,0,0,344,15-02-2013
47328,0,0,1,270,15-01-2011
66302,1,1,0,286,18-07-2017
68053,1,0,0,235,03-01-2010
35406,1,1,0,46,13-08-2021
33067,1,0,1,362,02-10-2015
48296,0,0,0,180,16-09-2021
96216,0,1,0,236,28-01-2022
68937,0,1,0,161,15-10-2017
45178,1,1,1,72,26-07-2022
83810,1,0,1,357,08-06-2014
17393,1,1,0,251,17-01-2017
43730,1,0,0,133,10-02-2011
40275,0,0,1,118,06-10-2013
74069,1,0,1,146,30-07-2012
77193,1,0,1,69,15-03-2016
15772,0,0,0,143,12-04-2020
60978,1,1,0,312,07-01-2012
12506,1,1,1,86,28-07-2021
98580,1,1,1,297,07-06-2010
50302,1,0,1,77,29-11-2011
83738,0,0,1,219,05-04-2022
49209,0,1,0,202,20-12-2015
35936,1,0,0,263,31-07-2016
20641,0,1,0,82,22-07-2016
17826,0,0,1,120,31-10-2018
51093,0,0,0,157,28-01-2016
21735,0,1,1,198,04-06-2015
40544,1,1,1,278,06-06-2012
77473,1,1,0,151,20-12-2017
11173,1,1,1,281,26-11-2021
94389,0,0,0,337,27-03-2010
43896,1,0,1,221,05-05-2017
75279,0,1,0,43,15-01-2013
10793,1,0,0,15,20-05-2010
34945,1,0,1,284,22-04-2023
13475,0,1,0,2,06-11-2021
93512,1,0,1,359,06-02-2016
52403,0,1,0,82,27-04-2012
86148,0,0,1,181,04-12-2016
87666,0,1,1,83,19-02-2010
19323,1,0,0,88,16-10-2013
10000,1,1,1,328,22-09-2010
72317,0,1,0,158,28-12-2011
85779,1,1,1,350,08-02-2022
18882,0,1,1,362,24-03-2016
75425,0,0,0,273,02-02-2016
85905,0,0,0,144,20-07-2019
88904,1,0,1,198,23-10-2016
21207,0,0,0,74,26-11-2020
71619,1,0,1,280,25-07-2012
29244,0,0,0,79,10-06-2018
11470,0,0,0,268,09-09-2015
57359,0,0,0,86,25-01-2017
14622,1,1,1,189,24-12-2021
14254,1,1,1,107,07-05-2013
46738,1,1,1,62,06-09-2013
50310,0,1,0,345,18-04-2015
74172,1,0,0,28,05-10-2017
41617,0,1,1,85,01-04-2022
44964,1,1,1,122,01-12-2017
85970,0,0,0,330,11-06-2015
15444,1,0,0,41,06-03-2016
66210,1,0,0,1,23-06-2011
88474,1,0,0,275,21-02-2021
82448,0,0,0,205,12-04-2011
29950,0,0,0,112,07-03-2010
73015,0,1,0,345,21-06-2010
39864,1,0,1,169,18-12-2017
13056,1,0,1,107,06-09-2015
33070,1,1,0,44,21-09-2013
38888,1,1,0,334,30-11-2011
14120,1,1,0,196,05-02-2014
66073,1,1,1,285,03-02-2017
85995,0,1,1,136,22-03-2021
67429,1,1,1,361,27-01-2010
90731,0,1,1,238,14-01-2013
72134,1,1,1,247,16-10-2018
16263,0,0,1,142,10-10-2016
51911,1,1,1,310,08-11-2019
50013,1,1,1,173,09-03-2014
52481,0,1,0,333,30-03-2022
90416,0,1,1,49,06-01-2022
60389,1,1,0,129,30-07-2020
57106,1,0,0,109,19-02-2017
25389,0,0,1,224,02-07-2018
46328,0,1,0,363,17-12-2012
37944,1,1,0,113,26-08-2018
76444,0,0,1,23,16-12-2012
21385,0,0,1,40,06-03-2015
10218,1,0,1,231,23-05-2015
72991,1,0,0,4,01-12-2021
32042,0,1,0,199,23-06-2012
98885,0,0,0,341,09-03-2013
20509,1,0,0,329,25-09-2017
87810,1,0,0,132,17-05-2011
68488,1,0,0,124,06-10-2014
70317,0,1,1,146,07-10-2020
36670,1,1,0,110,30-11-2018
59286,0,0,0,183,09-03-2015
89310,0,1,0,38,05-12-2017
40287,1,0,0,71,06-03-2019
52841,0,1,1,59,09-10-2012
85444,1,0,1,321,08-10-2021
62853,1,1,1,64,15-10-2016
44209,0,1,0,251,14-05-2020
23159,0,1,0,172,21-09-2016
73364,1,1,0,273,21-03-2012
54331,0,1,0,172,04-08-2020
49674,1,1,1,275,19-03-2014
65517,1,1,1,121,13-03-2012
42898,1,0,1,7,30-06-2010
40769,1,0,0,276,04-11-2015
75859,0,0,1,26,14-01-2013
86084,1,1,0,233,29-03-2023
64579,0,0,1,223,04-02-2020
27604,0,1,0,62,23-04-2018
55012,0,1,0,266,28-04-2011
63571,0,1,0,297,22-07-2020
31206,0,0,1,291,22-06-2022
33956,0,1,1,168,08-04-2021
60633,0,1,1,56,07-07-2011
69408,0,0,0,288,30-04-2011
64222,1,1,1,324,11-08-2013
26307,0,1,0,169,10-05-2018
79117,0,1,1,350,20-12-2017
37951,1,0,0,245,05-07-2014
81902,0,0,0,5,06-09-2012
77651,0,1,0,84,12-08-2015
92364,1,1,0,39,05-03-2011
42191,1,0,0,156,19-02-2021
10619,0,0,0,246,19-09-2016
87191,1,1,1,289,24-01-2022
98462,0,1,0,282,02-02-2010
92951,0,0,1,73,05-10-2014
71435,1,1,1,144,04-10-2020
69767,1,0,1,154,13-05-2015
68221,1,1,1,25,16-01-2014
95273,1,0,1,93,18-12-2020
23455,1,1,0,279,07-10-2012
83525,1,0,1,54,06-01-2015
22501,0,1,1,362,08-11-2010
35644,1,1,0,181,18-10-2016
79536,1,1,1,140,07-11-2012
97198,0,0,0,58,27-09-2020
81516,0,0,1,245,27-03-2012
58252,0,0,1,217,10-08-2012
93278,1,0,1,60,16-05-2013
42822,0,1,1,236,15-03-2010
32359,0,1,1,124,12-03-2020
66569,0,1,1,233,04-01-2021
95944,1,1,0,266,07-11-2019
52038,0,1,1,272,25-05-2013
66248,0,0,0,83,19-06-2017
50400,1,0,0,86,11-12-2011
52873,0,0,1,307,16-05-2013
75480,1,1,1,213,12-05-2011
31625,0,0,1,180,10-10-2011
24824,1,1,0,77,10-01-2017
72398,1,0,1,359,03-05-2013
48560,0,0,1,231,05-10-2013
70723,0,0,1,190,26-08-2011
80800,1,1,1,251,12-11-2011
17650,0,1,0,165,23-05-2022
16030,1,0,0,89,14-07-2014
28482,1,0,1,167,23-02-2012
87564,1,0,0,88,16-04-2020
90789,0,1,0,25,22-04-2013
17651,1,1,1,247,22-03-2023
95839,1,0,1,239,25-07-2020
85262,0,0,1,231,02-03-2023
57796,0,0,1,238,30-08-2010
15367,1,1,0,200,30-11-2011
14278,0,0,1,46,04-07-2014
39748,0,0,0,6,30-09-2012
62932,0,0,0,265,18-01-2012
92469,0,0,1,341,14-04-2018
70203,0,0,1,156,09-03-2018
70948,1,0,0,291,04-03-2011
77074,0,1,0,221,13-07-2019
55439,0,0,0,298,25-02-2019
58744,1,1,0,204,01-04-2015
47479,1,0,0,341,03-04-2023
64984,1,0,0,135,02-08-2020
96386,0,0,1,243,17-08-2014
10049,1,0,0,178,17-01-2012
32280,0,1,0,217,10-01-2019
92960,0,0,1,233,28-01-2023
49870,1,0,1,188,28-05-2015
93045,1,1,0,234,23-02-2016
82044,0,1,1,13,25-12-2013
80663,0,0,0,30,21-04-2023
41767,0,1,0,253,22-12-2014
29687,0,0,1,209,03-03-2014
53529,0,1,1,90,17-01-2011
94810,0,1,0,166,30-10-2019
54675,1,0,1,163,22-03-2017
64073,1,0,0,243,08-06-2013
80222,0,1,1,253,04-10-2021
44554,0,1,1,333,02-01-2014
46786,0,0,0,348,01-10-2013
75870,0,0,1,170,29-01-2022
85827,1,0,0,81,17-03-2021
53366,0,0,1,3,17-01-2016
67969,0,1,1,316,14-07-2011
27436,0,1,0,118,11-09-2018
73140,1,1,0,198,21-07-2019
32376,1,0,1,169,03-12-2017
95050,1,1,1,74,07-01-2021
84602,0,0,1,276,05-04-2022
64698,0,0,1,288,15-04-2013
93164,0,0,1,94,19-12-2022
65810,0,0,0,200,20-12-2022
82614,0,1,1,321,06-03-2013
58068,0,0,0,201,11-09-2016
53192,0,0,1,23,20-07-2020
86919,0,1,0,239,31-03-2011
87141,1,1,0,8,27-06-2016
14631,0,0,0,65,10-05-2015
73804,1,1,1,289,25-08-2022
95256,0,0,1,165,07-07-2012
63477,0,1,0,362,09-06-2011
38736,1,0,0,230,09-03-2015
79881,0,1,1,219,11-10-2020
53087,1,0,0,319,28-01-2019
97858,0,1,0,129,27-08-2020
45902,0,1,0,48,17-07-2013
17348,0,0,0,9,28-11-2013
48926,0,0,1,209,17-05-2019
24051,1,0,1,218,11-02-2013
27805,0,1,1,329,12-09-2019
18942,1,0,1,74,04-05-2018
44412,0,0,0,115,26-07-2014
98095,0,0,0,101,27-05-2011
66054,1,0,0,300,25-07-2011
55129,0,0,0,338,11-11-2018
23045,1,1,0,254,16-01-2010
73827,1,1,0,78,16-04-2015
11184,1,0,0,63,22-03-2016
98481,0,0,1,268,08-03-2015
11008,0,0,0,151,02-05-2014
71008,1,0,1,275,10-02-2011
28350,0,0,0,93,19-12-2014
27999,1,1,1,289,18-10-2018
21256,0,0,1,258,01-04-2010
69330,1,1,1,348,22-08-2022
36005,1,0,1,198,18-01-2011
47982,1,1,1,38,19-10-2013
54035,1,1,0,179,06-06-2022
44541,1,0,0,17,27-03-2015
85206,0,1,1,212,02-06-2017
24489,1,1,1,356,21-02-2019
17410,1,0,0,101,01-12-2010
42481,1,0,0,149,21-03-2012
59637,0,1,0,284,18-06-2020
67813,0,0,1,46,07-07-2017
63887,0,1,1,69,02-09-2012
58634,1,1,0,12,21-11-2017
37052,0,1,0,340,09-09-2017
47397,1,0,1,322,19-01-2018
25847,0,1,0,101,25-06-2012
47859,0,1,0,68,28-03-2016
12335,1,0,0,69,19-06-2020
49956,1,1,0,291,30-09-2013
17148,0,1,1,141,11-04-2018
89315,0,0,1,233,02-04-2012
10694,0,0,0,315,16-09-2010
34339,1,1,1,26,02-02-2023
71103,1,1,0,222,28-04-2021
40935,0,1,0,240,08-01-2012
23044,0,1,0,130,01-04-2017
35346,1,0,0,151,07-03-2017
51221,1,1,1,345,06-12-2011
36949,0,0,1,334,12-01-2016
38573,1,1,0,361,09-04-2014
56899,1,1,1,15,11-07-2017
65048,0,1,0,65,23-06-2021
97900,1,1,1,88,08-11-2022
20318,0,1,1,118,13-07-2016
34821,1,1,0,203,09-04-2021
93489,0,1,0,236,30-10-2012
13253,1,1,1,58,27-05-2015
97856,1,1,1,146,17-12-2022
16346,1,1,0,273,11-05-2022
73984,1,0,1,200,21-12-2021
51961,1,0,1,31,21-12-2020
72963,0,1,1,339,28-06-2021
15918,1,0,1,174,08-07-2014
37331,0,1,1,60,14-12-2018
24654,1,1,1,165,14-12-2021
12519,1,1,1,327,20-12-2010
73528,0,0,1,113,08-06-2017
38220,1,0,1,138,07-02-2015
41821,1,0,0,52,30-11-2017
61401,0,0,1,12,12-08-2019
93510,0,0,1,36,16-10-2014
86787,1,0,1,224,26-01-2020
91271,0,0,1,232,05-01-2020
52023,0,1,1,75,15-04-2022
53589,1,0,0,182,31-07-2014
55763,0,1,0,116,24-10-2012
33648,1,1,0,123,18-05-2015
49631,1,1,1,345,01-07-2021
45130,0,0,1,324,24-11-2018
77836,1,0,1,68,21-04-2012
46347,1,1,0,31,17-04-2016
83154,1,1,1,192,17-06-2020
19680,0,1,1,364,13-06-2015
12907,0,1,0,34,06-06-2019
43491,0,1,1,138,28-03-2018
36539,1,0,1,38,26-06-2020
37996,0,0,0,329,30-01-2013
43555,0,0,1,195,10-09-2016
96329,0,0,0,28,26-05-2022
94940,1,0,1,67,08-03-2021
19268,1,1,0,154,29-08-2018
81303,1,1,0,314,09-05-2022
65078,1,0,0,352,24-01-2019
97994,0,1,1,168,21-07-2018
61654,0,0,1,57,14-08-2022
55969,0,1,0,18,06-09-2015
32077,1,1,0,71,06-05-2019
80055,0,1,0,158,08-04-2020
84798,0,0,0,308,25-09-2011
96573,1,0,0,58,16-08-2017
43199,1,1,0,266,15-11-2015
91085,0,0,0,338,26-09-2018
80549,1,0,0,241,01-05-2014
42775,1,0,1,42,17-10-2010
74250,0,1,1,270,05-03-2021
95152,1,0,1,25,15-06-2012
27105,0,0,1,1,31-12-2010
68675,1,0,1,237,31-05-2019
80646,1,0,1,108,01-08-2014
29607,0,1,1,75,02-04-2020
28833,1,0,1,300,09-11-2020
34175,0,1,1,78,19-06-2015
15556,1,1,0,121,05-07-2013
56219,0,0,0,115,14-08-2018
25381,0,1,0,109,13-08-2016
53155,1,0,1,144,24-08-2020
42842,1,0,0,188,19-11-2011
44763,1,1,0,81,08-01-2019
16113,0,1,1,145,17-12-2020
10796,1,1,1,244,15-02-2013
92412,1,1,0,163,25-06-2015
98451,0,0,1,260,19-07-2014
74614,0,1,0,16,18-11-2015
39421,0,1,1,227,05-12-2022
38206,0,0,0,73,27-01-2015
21457,1,0,1,203,07-02-2014
35707,1,0,0,117,18-06-2016
94722,0,1,0,139,30-12-2019
31644,1,0,0,86,06-02-2014
88884,0,1,1,275,13-03-2019
41521,0,0,1,106,21-10-2013
78589,1,1,0,147,16-09-2017
31020,0,0,0,106,15-08-2019
35417,0,1,1,75,04-09-2019
55025,0,0,0,315,08-08-2021
66668,1,1,0,167,17-01-2014
43919,0,0,1,48,05-05-2018
74093,1,0,1,80,13-10-2014
89444,1,0,0,36,19-06-2018
18858,1,0,1,172,16-09-2012
71273,1,0,1,216,21-05-2012
44189,1,0,1,339,09-01-2011
89377,0,1,1,321,29-07-2018
48742,0,1,1,326,10-03-2023
32757,1,1,1,214,23-03-2018
57038,1,0,1,205,24-07-2017
29082,0,0,1,74,17-11-2010
76249,0,0,0,94,25-10-2019
16779,1,0,1,150,24-01-2012
78607,1,1,0,173,15-02-2015
88401,1,1,1,98,31-12-2011
25356,1,0,1,129,02-05-2022
40005,0,0,0,317,30-06-2017
66472,1,0,0,329,24-07-2022
37223,1,0,0,69,18-03-2019
78747,0,0,0,121,22-09-2015
71601,0,0,0,13,22-10-2016
71863,1,1,0,168,20-06-2015
97360,0,0,0,6,28-11-2018
43005,1,1,0,11,23-05-2017
22735,1,0,0,345,29-10-2019
34457,1,0,0,92,26-06-2014
64805,0,0,0,17,10-07-2012
46313,0,0,1,199,07-11-2018
26832,1,1,1,243,16-12-2011
13247,0,1,1,304,24-11-2021
98974,1,1,0,95,23-09-2011
44010,0,1,0,16,06-07-2016
68453,1,0,1,206,28-08-2014
99804,0,1,0,207,01-10-2014
78506,0,1,0,280,19-03-2016
28680,1,1,0,184,25-11-2017
53219,1,0,1,177,18-11-2021
34320,0,1,0,6,07-12-2010
96285,0,0,0,83,28-05-2014
13782,0,0,1,280,30-03-2020
89571,0,0,1,191,14-02-2014
10672,0,0,1,157,27-09-2017
44533,1,0,0,123,21-01-2011
69092,1,1,0,193,01-07-2011
88538,0,1,0,314,24-08-2012
12575,0,0,1,154,26-04-2020
70953,0,0,0,200,06-05-2012
50411,0,1,0,100,18-08-2021
62929,1,1,0,13,23-01-2021
44431,1,0,0,353,26-05-2020
76270,0,0,0,340,07-11-2020
41961,1,1,1,120,07-06-2017
13342,1,1,1,154,14-06-2011
64375,1,0,0,200,12-11-2020
74636,1,0,0,208,24-10-2021
50049,1,1,0,13,14-10-2012
74483,1,1,0,143,22-08-2014
13191,1,0,1,310,26-08-2017
54874,0,0,1,296,19-06-2011
12975,1,1,1,43,20-02-2023
11062,0,0,1,108,21-03-2021
11329,1,1,0,98,05-11-2010
58727,0,1,0,294,04-05-2018
18820,1,1,0,232,05-09-2019
39906,1,1,1,3,04-11-2011
86844,1,1,0,157,26-03-2017
83164,1,0,1,4,11-10-2019
81394,1,0,1,134,27-12-2011
88921,0,0,1,58,24-09-2014
56506,0,0,1,65,10-11-2015
79094,0,0,1,147,16-01-2017
74265,1,1,1,108,20-10-2022
75333,0,0,0,319,16-10-2012
90406,1,0,1,284,14-03-2015
56990,0,0,0,116,12-03-2023
79500,1,0,1,75,03-12-2021
23069,1,1,1,282,20-04-2015
71809,1,0,0,252,16-08-2014
75066,1,0,1,222,04-08-2013
32143,0,1,0,250,18-03-2020
75739,0,1,1,189,09-06-2012
10896,0,1,0,84,28-06-2021
92464,0,0,1,58,16-05-2011
11540,0,1,0,47,19-03-2013
61793,1,1,0,148,14-12-2014
41310,0,1,1,42,11-04-2022
80552,1,1,0,250,24-06-2022
72096,1,0,1,272,18-09-2019
89392,0,1,1,158,25-07-2022
53173,0,1,0,244,01-11-2015
19063,1,1,1,71,19-03-2012
29403,0,1,1,327,16-12-2021
54125,1,1,1,37,10-09-2010
84833,1,1,1,287,16-03-2013
75788,1,0,0,175,02-08-2014
98071,1,1,1,159,21-06-2010
21891,0,1,1,3,22-01-2010
61599,0,0,0,213,17-02-2018
50452,0,0,1,82,15-11-2012
35898,1,0,1,32,13-06-2012
42628,0,1,0,26,04-07-2010
93087,0,0,1,8,30-11-2022
34705,1,0,1,163,07-08-2020
46599,0,1,0,277,12-11-2016
82203,0,0,0,326,28-07-2016
78370,1,0,1,89,27-12-2012
70849,1,0,0,11,15-09-2019
51052,0,1,0,262,10-02-2012
30950,1,0,0,153,29-11-2015
43675,0,1,0,218,01-03-2019
78930,1,1,0,155,12-04-2020
76614,0,1,1,118,05-02-2015
39888,1,1,1,335,02-07-2012
42133,0,1,1,224,01-10-2019
21352,0,0,0,80,27-02-2015
53054,0,0,0,175,03-10-2017
59925,1,1,1,326,11-01-2023
44236,0,1,1,287,28-03-2014
60082,0,1,0,324,03-02-2014
85089,1,1,1,285,18-12-2019
14595,1,1,0,312,12-08-2018
95412,1,1,1,96,29-10-2015
27536,0,1,1,226,17-10-2015
64928,1,0,1,34,22-06-2018
38269,1,1,0,167,02-03-2023
72032,1,1,0,305,22-07-2021
77457,0,0,1,141,28-03-2022
79831,0,0,1,36,17-04-2014
10270,1,1,0,23,02-03-2016
16630,1,1,1,208,16-05-2012
22922,1,0,0,228,28-01-2011
69993,0,0,0,313,19-12-2015
77143,0,0,0,329,31-01-2023
28633,0,0,1,55,26-07-2018
83030,1,1,1,265,11-02-2014
